target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.R7DR20.1	654	473.988	0	0
arahy.Tifrunner.gnm2.ann1.8RJT4U.1	2784	2603.6	12.0727	0.0598572
arahy.Tifrunner.gnm2.ann1.795G7S.1	3513	3332.6	6.24086	0.0241741
arahy.Tifrunner.gnm2.ann1.YRJ5WN.1	2040	1859.6	0	0
arahy.Tifrunner.gnm2.ann1.DJ3X7X.1	939	758.625	0	0
arahy.Tifrunner.gnm2.ann1.17J2CG.1	357	180.526	21	1.50165
arahy.Tifrunner.gnm2.ann1.XN38V0.1	2016	1835.6	18	0.126585
arahy.Tifrunner.gnm2.ann1.3D0BCV.1	507	327.305	106.611	4.20474
arahy.Tifrunner.gnm2.ann1.LX9R2K.1	234	73.536	69.1787	12.144
arahy.Tifrunner.gnm2.ann1.5KC586.1_arahy.Tifrunner.gnm2.ann1.SZ7D6R.1	2781	2600.6	31	0.153878
arahy.Tifrunner.gnm2.ann1.C7GQ4M.1	255	89.916	0	0
arahy.Tifrunner.gnm2.ann1.49BA8H.1	750	569.869	0	0
arahy.Tifrunner.gnm2.ann1.4N5B4T.1	1116	935.605	1	0.0137974
arahy.Tifrunner.gnm2.ann1.5T40TZ.1_arahy.Tifrunner.gnm2.ann1.TXPA6B.1	216	60.742	90.3938	19.2105
arahy.Tifrunner.gnm2.ann1.CL7A41.1	873	692.643	0	0
arahy.Tifrunner.gnm2.ann1.K3FM2H.1	456	276.761	1	0.0466427
arahy.Tifrunner.gnm2.ann1.2PAI1Q.1	435	256.014	0	0
arahy.Tifrunner.gnm2.ann1.CRH8J7.1	867	686.694	0	0
arahy.Tifrunner.gnm2.ann1.U71V3Q.1	294	122.811	0	0
arahy.Tifrunner.gnm2.ann1.15TI10.1	933	752.625	0	0
arahy.Tifrunner.gnm2.ann1.3H4E4J.1	726	545.911	0	0
arahy.Tifrunner.gnm2.ann1.M35B2F.1	1464	1283.6	0	0
arahy.Tifrunner.gnm2.ann1.TBPN76.1	696	515.964	0	0
arahy.Tifrunner.gnm2.ann1.X51C4T.1	894	713.625	326.919	5.9137
arahy.Tifrunner.gnm2.ann1.PR2XBZ.1	6309	6128.6	17.4154	0.0366827
arahy.Tifrunner.gnm2.ann1.Z89DQ4.1	240	78.1515	126.407	20.8797
arahy.Tifrunner.gnm2.ann1.DBN754.1	1359	1178.6	109.317	1.19732
arahy.Tifrunner.gnm2.ann1.F9PCC2.1	3771	3590.6	276.571	0.994323
arahy.Tifrunner.gnm2.ann1.1VS4ZL.1	1785	1604.6	2.69216	0.0216582
arahy.Tifrunner.gnm2.ann1.FV1M10.1	1008	827.605	0	0
arahy.Tifrunner.gnm2.ann1.IUT8LB.1	723	542.911	181.542	4.31656
arahy.Tifrunner.gnm2.ann1.AGM2GS.1	1683	1502.6	2406.56	20.6748
arahy.Tifrunner.gnm2.ann1.JI0RX7.1	771	590.84	250.482	5.47261
arahy.Tifrunner.gnm2.ann1.Q4RD5Q.1	1482	1301.6	0	0
arahy.Tifrunner.gnm2.ann1.V2ETSI.1	2346	2165.6	70.614	0.420921
arahy.Tifrunner.gnm2.ann1.SRBD8N.1	585	405.052	0	0
arahy.Tifrunner.gnm2.ann1.N9GBWE.1	375	197.621	0	0
arahy.Tifrunner.gnm2.ann1.W0LIHS.1	1293	1112.6	306.421	3.55522
arahy.Tifrunner.gnm2.ann1.4I1DT6.1	267	99.5252	0	0
arahy.Tifrunner.gnm2.ann1.NV9TN2.1	1836	1655.6	0	0
arahy.Tifrunner.gnm2.ann1.578M4A.1	2766	2585.6	1.45745	0.00727648
arahy.Tifrunner.gnm2.ann1.E8CC8A.1	2907	2726.6	7069.45	33.4697
arahy.Tifrunner.gnm2.ann1.PN9ZPA.1	2730	2549.6	6.13653	0.0310699
arahy.Tifrunner.gnm2.ann1.AM8RJL.1	714	533.938	4	0.0967071
arahy.Tifrunner.gnm2.ann1.MB4X9A.1	540	360.108	0	0
arahy.Tifrunner.gnm2.ann1.Z32ZXD.1	1995	1814.6	86.7351	0.617023
arahy.Tifrunner.gnm2.ann1.CYZ3KW.1	639	458.988	38.8896	1.09376
arahy.Tifrunner.gnm2.ann1.BY5KCT.1	1338	1157.6	0	0
arahy.Tifrunner.gnm2.ann1.FN76PE.1	864	683.694	210.015	3.96532
arahy.Tifrunner.gnm2.ann1.15R771.1_arahy.Tifrunner.gnm2.ann1.VY88A6.1	594	414.032	8	0.249428
arahy.Tifrunner.gnm2.ann1.IEL8E2.1	456	276.761	0	0
arahy.Tifrunner.gnm2.ann1.EW9XPE.1	696	515.964	0	0
arahy.Tifrunner.gnm2.ann1.1UR5KM.1	825	644.777	0	0
arahy.Tifrunner.gnm2.ann1.QNIR3T.1	426	247.153	1	0.0522304
arahy.Tifrunner.gnm2.ann1.G4TSN0.1	606	426.021	0	0
arahy.Tifrunner.gnm2.ann1.88Y1ZI.1	1659	1478.6	531.285	4.63836
arahy.Tifrunner.gnm2.ann1.ECK8LG.1	2130	1949.6	19919.8	131.895
arahy.Tifrunner.gnm2.ann1.42ZGCT.1	654	473.988	2	0.0544692
