target_id	category	PatMatFC	DadMomFC	MatMomFC	PatDadFC	PolyRank	DipRank	MomRank	DadRank
AsAa_g18333_AsAt_g14382	Not-organelle-targeted	-6.22033293091156	NA	NA	NA	147	NA	NA	NA
AsAa_g9244_AsAt_g9264	Not-organelle-targeted	-6.18384950220875	NA	NA	-6.00534325416156	148	NA	NA	99
AsAa_g4233_AsAt_g5365	Not-organelle-targeted	6.16548667892738	5.6551321268464	NA	NA	149	159	NA	NA
AsAa_g20466_AsAt_g19775	Not-organelle-targeted	-6.14315982583506	-4.3600439054296	NA	NA	150	359	NA	NA
AsAa_g14357_AsAt_g9345	Not-organelle-targeted	6.13670870134095	NA	NA	5.85413466516924	151	NA	NA	102
AsAa_g12481_AsAt_g11213	Not-organelle-targeted	6.11985947102347	2.08791436003755	NA	NA	152	1480	NA	NA
AsAa_g22333_AsAt_g18171	Not-organelle-targeted	6.08808146568724	2.90986730747299	NA	1.68462749707862	153	822	NA	977
AsAa_g4668_AsAt_g4935	Not-organelle-targeted	6.06400993698264	5.39886485419695	NA	NA	154	190	NA	NA
AsAa_g14007_AsAt_g9674	Not-organelle-targeted	-6.0635948854874	-5.75828068664907	NA	NA	155	146	NA	NA
AsAa_g9317_AsAt_g9190	Not-organelle-targeted	-6.05953586944031	-5.66904612130586	NA	NA	156	156	NA	NA
AsAa_g1919_AsAt_g1894	Not-organelle-targeted	6.04659365562041	3.61291269884362	NA	2.77324706181283	157	530	NA	408
AsAa_g9341_AsAt_g9163	Not-organelle-targeted	-6.03144040930012	3.96827530340657	NA	-10.5223679322413	158	439	NA	12
AsAa_g13251_AsAt_g10406	Not-organelle-targeted	-6.02059701801679	NA	NA	-5.40728676631925	159	NA	NA	119
AsAa_g23056_AsAt_g17459	Not-organelle-targeted	-5.98515185810344	-6.49965850860152	NA	NA	160	107	NA	NA
AsAa_g14154_AsAt_g9549	Not-organelle-targeted	5.96557325521127	11.3789721124596	NA	NA	161	9	NA	NA
AsAa_g8690_AsAt_g6382	Not-organelle-targeted	-5.93918533245575	-6.71796172925432	NA	NA	162	93	NA	NA
AsAa_g15442_AsAt_g21264	Not-organelle-targeted	5.90437233357822	NA	NA	4.11952710247887	163	NA	NA	188
AsAa_g817_AsAt_g2977	Not-organelle-targeted	5.88537480363825	-5.49675528951788	-9.99536724286039	NA	164	175	1	NA
AsAa_g5788_AsAt_g4049	Not-organelle-targeted	5.84920680963497	5.12021150138764	NA	NA	165	219	NA	NA
AsAa_g3747_AsAt_g18	Not-organelle-targeted	5.84917770216627	2.99185192973757	NA	NA	166	778	NA	NA
AsAa_g6065_AsAt_g4300	Not-organelle-targeted	-5.83033138583667	-3.54655683311652	1.44208037403423	NA	167	554	1057	NA
AsAa_g20763_AsAt_g19505	Not-organelle-targeted	5.8257195306733	7.57998246961132	NA	NA	168	60	NA	NA
AsAa_g9303_AsAt_g9206	Not-organelle-targeted	-5.81986083998907	5.23219002937081	4.13765705568314	-6.93930066801518	169	205	152	79
AsAa_g5910_AsAt_g4182	Not-organelle-targeted	5.8171848052319	8.19111954794018	NA	-1.05299837251346	170	39	NA	1905
AsAa_g23261_AsAt_g17209	Not-organelle-targeted	-5.78989260302231	NA	6.7530998440583	NA	171	NA	28	NA
AsAa_g1250_AsAt_g2547	Plastid-targeted_Non-interacting	-5.75610490038284	NA	1.76777896722513	-4.44814795339803	172	NA	822	172
AsAa_g22614_AsAt_g17893	Not-organelle-targeted	-5.64302563749354	NA	4.53503999959076	-1.86321490233218	173	NA	114	820
AsAa_g14045_AsAt_g9635	Not-organelle-targeted	5.64160959888949	2.65780514435573	NA	3.40983355306466	174	971	NA	270
AsAa_g7754_AsAt_g12102	Not-organelle-targeted	5.63296346230678	2.91908519426327	-2.78012087877115	NA	175	812	373	NA
AsAa_g20320_AsAt_g19912	Not-organelle-targeted	5.63034765234738	4.43813133100709	NA	NA	176	347	NA	NA
AsAa_g9274_AsAt_g9234	Not-organelle-targeted	-5.62850639076074	NA	NA	-6.04140778027201	177	NA	NA	97
AsAa_g1714_AsAt_g2178	Plastid-targeted_Non-interacting	5.58082153892867	6.31993196842998	NA	NA	179	113	NA	NA
AsAa_g11180_AsAt_g7463	Not-organelle-targeted	5.57507492645246	NA	4.90925358254331	10.1299483657622	180	NA	86	21
AsAa_g19618_AsAt_g15650	Not-organelle-targeted	5.56922173550162	5.02217855134362	NA	NA	181	234	NA	NA
AsAa_g11726_AsAt_g7071	Not-organelle-targeted	5.54326296327704	6.03410225225133	NA	NA	182	131	NA	NA
AsAa_g4838_AsAt_g4778	Not-organelle-targeted	-5.52250552670289	3.94213602793145	1.844439556387	-7.85092790381621	184	442	777	51
AsAa_g12868_AsAt_g10760	Not-organelle-targeted	-5.50588278549774	1.85973775104839	1.53023801919856	-5.81738750756215	185	1755	974	103
AsAa_g22674_AsAt_g17828	Not-organelle-targeted	-5.47748414833058	NA	NA	-4.22763417042454	186	NA	NA	183
AsAa_g20941_AsAt_g18964	Not-organelle-targeted	5.45997933355337	NA	NA	5.00877331428504	189	NA	NA	140
AsAa_g11739_AsAt_g7059	Not-organelle-targeted	5.45365496626126	NA	-4.39534458195672	NA	190	NA	124	NA
AsAa_g20868_AsAt_g19409	Plastid-targeted_Non-interacting	-5.45122148087086	-4.99408594216306	NA	NA	192	241	NA	NA
AsAa_g17698_AsAt_g13813	Not-organelle-targeted	-5.44841370002068	-2.19222871883413	-1.43726622720376	-4.70944874607325	194	1356	1060	149
AsAa_g10412_AsAt_g8185	Not-organelle-targeted	5.44342744064194	NA	NA	4.03672200101721	195	NA	NA	196
AsAa_g3519_AsAt_g302	Not-organelle-targeted	5.43890874931067	6.76011262568365	NA	NA	196	91	NA	NA
AsAa_g21342_AsAt_g19315	Not-organelle-targeted	5.41671435304075	4.70621163272964	NA	NA	198	293	NA	NA
AsAa_g3565_AsAt_g254	Not-organelle-targeted	-5.37659863093391	-5.15376235621917	-3.70621553111338	-3.85565968253703	200	212	195	216
AsAa_g11528_AsAt_g7232	Not-organelle-targeted	5.37167336901345	-3.607462981845	-5.92073798111509	3.05808895277289	201	533	47	338
AsAa_g373_AsAt_g3382	Not-organelle-targeted	5.31203042946393	5.79924738597526	NA	NA	203	143	NA	NA
