target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAt_g5334	1626	1446.93	155	1.2353
AsAa_g9106	1026	846.926	90	1.22541
AsAa_g10805	1137	957.926	0	0
AsAt_g20716	1092	912.926	137.675	1.73902
AsAt_g17196	687	507.98	202.646	4.6002
AsAt_g15234	444	265.742	95.1529	4.12903
AsAa_g13240	510	331.218	264.659	9.21425
AsAa_g23352	5112	4932.93	2162	5.05402
AsAt_g7685	255	91.7409	29	3.6452
AsAa_g6088	636	457.011	394.377	9.9511
AsAt_g15478	897	717.98	150	2.40916
AsAa_g22055	1452	1272.93	0	0
AsAa_g16555	1161	981.926	0	0
AsAt_g17673	2889	2709.93	48	0.204254
AsAa_g9134	903	723.98	200.804	3.19839
AsAa_g14791	1134	954.926	0	0
AsAa_g2738	750	570.98	3	0.060588
AsAt_g12947	1164	984.926	133	1.55716
AsAt_g9642	798	618.98	1115.49	20.7814
AsAt_g11042	1158	978.926	0	0
AsAt_g4389	849	669.98	0	0
AsAt_g13385	609	430.026	0	0
AsAa_g7906	2148	1968.93	1	0.00585675
AsAa_g4108	879	699.98	0	0
AsAa_g17264	681	501.98	7	0.160804
AsAt_g2644	423	245.101	137.481	6.46824
AsAt_g11333	2745	2565.93	557.724	2.50646
AsAa_g16	711	531.98	0	0
AsAt_g10514	1317	1137.93	92	0.932309
AsAa_g21199	1608	1428.93	83	0.669814
AsAt_g6546	1722	1542.93	0	0
AsAt_g16615	621	442.026	0	0
AsAa_g8014	429	251.051	43.6751	2.00613
AsAt_g20288	927	747.98	685.095	10.562
AsAt_g18197	948	768.98	624.77	9.36895
AsAt_g16642	1929	1749.93	0	0
AsAt_g14689	771	591.98	1	0.0194796
AsAa_g19458	1755	1575.93	0.5	0.00365864
AsAa_g3146	2307	2127.93	745.885	4.04205
AsAt_g22076	852	672.98	13	0.222755
AsAt_g12594	1704	1524.93	264.044	1.99671
AsAt_g21676	642	463.011	0	0
AsAt_g1476	999	819.926	62	0.871973
AsAa_g16765	1575	1395.93	48.9324	0.404222
AsAa_g16425	1995	1815.93	7.77778	0.0493905
AsAa_g910	132	18.9942	424	257.414
AsAt_g8688	1239	1059.93	35.5589	0.386865
AsAt_g4814	1020	840.926	90.4284	1.24003
AsAt_g21435	1209	1029.93	126.275	1.41384
AsAa_g4309	501	322.25	18	0.644118
AsAa_g8614	1086	906.926	306	3.89077
AsAt_g1221	996	816.926	140.943	1.98951
AsAt_g4644	483	304.313	176.452	6.68642
AsAa_g944	459	280.605	0	0
AsAt_g17602	1032	852.926	48	0.648957
AsAt_g3823	1008	828.926	2111	29.3669
AsAa_g12218	1248	1068.93	77	0.830671
AsAa_g17824	720	540.98	67	1.42817
AsAt_g17478	1632	1452.93	340.883	2.7055
AsAt_g6595	1170	990.926	33.486	0.38968
AsAa_g12215	1380	1200.93	235.487	2.26119
AsAa_g3674	984	804.954	41.5325	0.594981
AsAa_g5612	1755	1575.93	161	1.17808
AsAa_g17173	897	717.98	216	3.46918
AsAt_g7250	1656	1476.93	9	0.07027
AsAa_g13537	2217	2037.93	78.179	0.442372
AsAt_g14343	1824	1644.93	2	0.0140207
AsAt_g13302	1140	960.926	51	0.612021
AsAt_g18954	738	558.98	315.413	6.50682
AsAt_g863	333	158.726	72.7273	5.28366
AsAa_g8657	690	510.98	64	1.44432
AsAt_g15221	300	128.901	6	0.536763
AsAa_g6623	1344	1164.93	0	0
AsAt_g20278	990	810.954	282.869	4.02231
AsAt_g15045	915	735.98	50	0.783412
AsAa_g1166	798	618.98	0.666667	0.0124199
AsAa_g7069	1686	1506.93	434.15	3.32227
AsAa_g17265	882	702.98	31	0.508516
AsAt_g14568	348	172.761	21	1.40171
AsAt_g19444	1023	843.926	133.529	1.82456
AsAt_g924	555	376.081	0	0
AsAa_g3129	1383	1203.93	170	1.6283
AsAa_g16660	1017	837.926	500.848	6.89265
AsAt_g15323	1344	1164.93	205.231	2.03156
AsAt_g9018	870	690.98	91.1144	1.52057
AsAt_g15950	795	615.98	0	0
AsAt_g17269	1011	831.926	0	0
AsAa_g2543	444	265.742	1	0.0433936
AsAa_g20383	501	322.25	28	1.00196
AsAt_g1123	1164	984.926	0	0
AsAt_g7449	687	507.98	49	1.11233
AsAt_g15230	864	684.98	508.408	8.55895
