Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62002685	AUR62002956	AUR62038368	AUR62003086	AUR62008996	AUR62003171	AUR62002962	AUR62013212	AUR62003323	AUR62008996	AUR62027587	AUR62003136	AUR62002860	AUR62016319		AUR62008996	AUR62043098	AUR62027108	AUR62000394	AUR62025434				AUR62005697	AUR62007849							AUR62012745			AUR62003498	AUR62017836		AUR62018343	AUR62041076	AUR62031872			AUR62002037				AUR62022700								AUR62014110	
AUR62002690	AUR62002954	AUR62038376	AUR62003136	AUR62040732	AUR62003181	AUR62003022	AUR62013238	AUR62003361	AUR62040732	AUR62027623	AUR62003155	AUR62006005	AUR62016594		AUR62040732	AUR62012568	AUR62027117	AUR62000640	AUR62024326				AUR62005738	AUR62025547							AUR62001197			AUR62003522	AUR62039507		AUR62018352	AUR62041102	AUR62021944							AUR62007047								AUR62014241	
AUR62002687	AUR62002958	AUR62039460	AUR62003155	AUR62018609	AUR62003260	AUR62003034	AUR62038944	AUR62003366	AUR62018609	AUR62027706	AUR62003158	AUR62023093	AUR62017157		AUR62018609	AUR62012679	AUR62003587	AUR62000754	AUR62024379				AUR62010074	AUR62024319							AUR62014110			AUR62003803	AUR62008494		AUR62038508	AUR62013644	AUR62022575							AUR62024570								AUR62028546	
AUR62002689	AUR62002962	AUR62039467	AUR62003158	AUR62018856	AUR62003287	AUR62003041	AUR62038966	AUR62003382	AUR62018856	AUR62035047	AUR62003173	AUR62010386	AUR62026116		AUR62018856	AUR62012772	AUR62003740	AUR62037745	AUR62015196				AUR62010141	AUR62015155							AUR62014241			AUR62020100	AUR62038001		AUR62033945	AUR62013640	AUR62022613							AUR62011736								AUR62028574	
AUR62002691	AUR62003022	AUR62039482	AUR62003173	AUR62038661	AUR62003295	AUR62003053	AUR62032483	AUR62003385	AUR62038661	AUR62035097	AUR62003171	AUR62034964	AUR62005246		AUR62038661	AUR62001361	AUR62003794	AUR62037753	AUR62035332				AUR62010190	AUR62041598							AUR62028546			AUR62027894	AUR62038041		AUR62004659	AUR62013761	AUR62022706							AUR62036465								AUR62042626	
AUR62002692	AUR62003034	AUR62039491	AUR62003171	AUR62037018	AUR62003296	AUR62003048	AUR62027713	AUR62005919	AUR62037018	AUR62033720	AUR62003176	AUR62034219	AUR62043895		AUR62037018	AUR62001638	AUR62003845	AUR62037782	AUR62028171				AUR62010217	AUR62017887							AUR62028574			AUR62033861	AUR62009416		AUR62022239	AUR62013866	AUR62041844							AUR62000122								AUR62017503	
AUR62002693	AUR62003041	AUR62012884	AUR62003176	AUR62021886	AUR62003307	AUR62003059	AUR62033717	AUR62005918	AUR62021886	AUR62033717	AUR62003181	AUR62023332	AUR62020658		AUR62021886	AUR62001715	AUR62029058	AUR62029587	AUR62028176				AUR62043824	AUR62017940							AUR62042626			AUR62036161	AUR62036014		AUR62032914	AUR62013894	AUR62012407							AUR62043070								AUR62017694	
AUR62002694	AUR62003053	AUR62012893	AUR62003181	AUR62021977	AUR62003309	AUR62003054	AUR62033752	AUR62005953	AUR62021977	AUR62040776	AUR62003247	AUR62023363	AUR62030314		AUR62021977	AUR62001808	AUR62029073	AUR62003480	AUR62017789				AUR62040432	AUR62022324							AUR62017503			AUR62001682	AUR62018563		AUR62002292	AUR62028296	AUR62011936							AUR62035620								AUR62017716	
AUR62002695	AUR62003048	AUR62012916	AUR62003247	AUR62022672	AUR62003303	AUR62003083	AUR62033800	AUR62005955	AUR62022672	AUR62032155	AUR62003260	AUR62013792	AUR62030324		AUR62022672	AUR62015449	AUR62009779	AUR62003964	AUR62037418				AUR62040438	AUR62041644							AUR62017694			AUR62035774	AUR62025126		AUR62002375	AUR62028365	AUR62018154							AUR62035619								AUR62034823	
AUR62002696	AUR62003059	AUR62012953	AUR62003260	AUR62007027	AUR62003304	AUR62003086	AUR62040786	AUR62006020	AUR62007027	AUR62032156	AUR62003284	AUR62028378	AUR62035647		AUR62007027	AUR62025405	AUR62007998	AUR62004079	AUR62022358				AUR62010518	AUR62041650							AUR62017716			AUR62015538	AUR62004402			AUR62029986	AUR62018252							AUR62029546								AUR62032754	
AUR62002698	AUR62003054	AUR62013057	AUR62003284	AUR62007155	AUR62003311	AUR62003098	AUR62032179	AUR62006034	AUR62007155	AUR62035531	AUR62003287	AUR62030017	AUR62018343		AUR62007155	AUR62025406	AUR62030957	AUR62004080	AUR62022470				AUR62010722	AUR62041623							AUR62034823			AUR62040078	AUR62004644			AUR62030056	AUR62000091							AUR62040209								AUR62009213	
AUR62002699	AUR62003083	AUR62013066	AUR62003287	AUR62007379	AUR62003319	AUR62003136	AUR62032214	AUR62006058	AUR62007379	AUR62035536	AUR62003295	AUR62019873	AUR62018352		AUR62007379	AUR62025546	AUR62031034	AUR62034347	AUR62011323				AUR62038114	AUR62023880							AUR62032754			AUR62035212	AUR62020856			AUR62037632	AUR62000132							AUR62003631								AUR62027806	
AUR62002697	AUR62003082	AUR62013095	AUR62003296	AUR62030797	AUR62003323	AUR62003155	AUR62032217	AUR62006074	AUR62030797	AUR62035539	AUR62003296	AUR62019945	AUR62038508		AUR62030797	AUR62028873	AUR62001111	AUR62039719	AUR62006995				AUR62043199	AUR62017609							AUR62009213			AUR62014977	AUR62036591			AUR62019847	AUR62000314							AUR62003982								AUR62010877	
AUR62002701	AUR62003087	AUR62013136	AUR62003301	AUR62011808	AUR62003361	AUR62003158	AUR62040950	AUR62006071	AUR62011808	AUR62023017	AUR62003301	AUR62014497	AUR62033945		AUR62011808	AUR62014630	AUR62001367	AUR62028015	AUR62017658				AUR62034282	AUR62038021							AUR62027806			AUR62029246	AUR62025373			AUR62020014	AUR62037752							AUR62004114								AUR62004905	
AUR62002702	AUR62003086	AUR62013191	AUR62003307	AUR62040348	AUR62003366	AUR62003173	AUR62035531	AUR62006090	AUR62040348	AUR62023085	AUR62003307	AUR62014523	AUR62004659		AUR62040348	AUR62014639	AUR62035723	AUR62009749	AUR62029861				AUR62023257	AUR62029877							AUR62010877			AUR62014837	AUR62001999			AUR62024820	AUR62026998							AUR62009522								AUR62005012	
AUR62002703	AUR62003098	AUR62013197	AUR62003309	AUR62018052	AUR62003382	AUR62003171	AUR62035536	AUR62006114	AUR62018052	AUR62023099	AUR62003309	AUR62023618	AUR62022239		AUR62018052	AUR62014209	AUR62039224	AUR62036196	AUR62016412				AUR62023318	AUR62032707							AUR62004905			AUR62017813				AUR62034532	AUR62040205							AUR62009818								AUR62018961	
AUR62002706	AUR62003111	AUR62013213	AUR62003303	AUR62041013	AUR62003385	AUR62003176	AUR62023017	AUR62006110	AUR62041013	AUR62023093	AUR62003308	AUR62021595	AUR62002267		AUR62041013	AUR62017777	AUR62025410	AUR62035137	AUR62016737				AUR62023335	AUR62009459							AUR62005012			AUR62017836				AUR62034570	AUR62003524							AUR62007629								AUR62038499	
AUR62002704	AUR62003136	AUR62013212	AUR62003308	AUR62000416	AUR62005919	AUR62003181	AUR62023043	AUR62006115	AUR62000416	AUR62023140	AUR62003311	AUR62008980	AUR62002292		AUR62000416	AUR62019404	AUR62025479	AUR62007591	AUR62016830				AUR62023418	AUR62009488							AUR62018961			AUR62011660				AUR62015760	AUR62003561							AUR62007761								AUR62038498	
AUR62002709	AUR62003145	AUR62013238	AUR62003311	AUR62000751	AUR62005918	AUR62003247	AUR62023099	AUR62006135	AUR62000751	AUR62023207	AUR62003319	AUR62037980	AUR62002375		AUR62000751	AUR62040506	AUR62035436	AUR62007592	AUR62009167				AUR62020458	AUR62026155							AUR62038499			AUR62039507				AUR62014385	AUR62003566							AUR62007849								AUR62042796	
AUR62002708	AUR62003155	AUR62038944	AUR62003319	AUR62000798	AUR62005953	AUR62003260	AUR62023108	AUR62006152	AUR62000798	AUR62031529	AUR62003338	AUR62018859			AUR62000798	AUR62011379	AUR62028871	AUR62007647	AUR62040659				AUR62020457	AUR62004936							AUR62038498			AUR62008494				AUR62014427	AUR62003760							AUR62001379								AUR62033656	
AUR62002710	AUR62003158	AUR62038945	AUR62003323	AUR62000936	AUR62005955	AUR62003284	AUR62023111	AUR62006175	AUR62000936	AUR62031552	AUR62003361	AUR62031174			AUR62000936	AUR62011450	AUR62015091	AUR62007965	AUR62017059				AUR62020553	AUR62018586							AUR62042796			AUR62038001				AUR62014466	AUR62020254							AUR62035695								AUR62022131	
AUR62002711	AUR62003173	AUR62038966	AUR62003338	AUR62001080	AUR62006007	AUR62003287	AUR62023116	AUR62006187	AUR62001080	AUR62005411	AUR62003366	AUR62029150			AUR62001080	AUR62043783	AUR62034062	AUR62031027	AUR62025977				AUR62041076	AUR62032438							AUR62033656			AUR62038041				AUR62014547	AUR62009677							AUR62025547								AUR62032963	
AUR62002712	AUR62003171	AUR62041166	AUR62003361	AUR62034098	AUR62006020	AUR62003295	AUR62023140	AUR62006183	AUR62034098	AUR62005536	AUR62003382	AUR62022608			AUR62034098	AUR62008058	AUR62014115	AUR62040136	AUR62020709				AUR62013644	AUR62004276							AUR62022131			AUR62016483				AUR62023480	AUR62009823							AUR62035407									
AUR62002714	AUR62003176	AUR62032474	AUR62003366	AUR62023799	AUR62006034	AUR62003296	AUR62023166	AUR62006198	AUR62023799	AUR62005554	AUR62003385	AUR62022692			AUR62023799	AUR62006764	AUR62017900	AUR62036269	AUR62030366				AUR62013683	AUR62004635							AUR62032963			AUR62016832				AUR62013481	AUR62030838							AUR62015103									
AUR62002717	AUR62003181	AUR62032483	AUR62003382	AUR62027108	AUR62006058	AUR62003301	AUR62023211	AUR62006207	AUR62027108	AUR62005658	AUR62005919	AUR62007009			AUR62027108	AUR62029914	AUR62028534	AUR62015428	AUR62040995				AUR62013735	AUR62004636										AUR62009416				AUR62043173	AUR62007704							AUR62029292									
AUR62002716	AUR62003247	AUR62032494	AUR62003385	AUR62027117	AUR62006074	AUR62003307	AUR62031552	AUR62006213	AUR62027117	AUR62005671	AUR62005918	AUR62007082			AUR62027117	AUR62016607	AUR62042368	AUR62025434	AUR62040849				AUR62013866	AUR62020832										AUR62040646				AUR62036935	AUR62007866							AUR62014072									
AUR62002718	AUR62003260	AUR62027587	AUR62005919	AUR62003470	AUR62006071	AUR62003309	AUR62005415	AUR62006220	AUR62003470	AUR62005669	AUR62005953	AUR62007152			AUR62003470	AUR62016680	AUR62037110	AUR62021363	AUR62004226				AUR62013885	AUR62020876										AUR62036014				AUR62021543	AUR62033874							AUR62017940									
AUR62002719	AUR62003284	AUR62027623	AUR62005918	AUR62003587	AUR62006090	AUR62003308	AUR62005434	AUR62006244	AUR62003587	AUR62005697	AUR62005955	AUR62036421			AUR62003587	AUR62016832	AUR62008204	AUR62024326	AUR62004311				AUR62013894	AUR62022292										AUR62017033				AUR62021545	AUR62012582							AUR62028417									
AUR62002720	AUR62003287	AUR62027706	AUR62005953	AUR62003740	AUR62006089	AUR62003311	AUR62005503	AUR62006270	AUR62003740	AUR62005721	AUR62006009	AUR62036427			AUR62003740	AUR62009362	AUR62008274	AUR62024379	AUR62004508				AUR62028353	AUR62025360										AUR62017069				AUR62021581	AUR62012710							AUR62028415									
AUR62002721	AUR62003295	AUR62027713	AUR62005955	AUR62003794	AUR62006114	AUR62003319	AUR62005554	AUR62006309	AUR62003794	AUR62005735	AUR62006016	AUR62019472			AUR62003794	AUR62009436	AUR62008275	AUR62015196	AUR62022056				AUR62028364											AUR62018563				AUR62021693	AUR62001528							AUR62019303									
AUR62002722	AUR62003296	AUR62035047	AUR62006009	AUR62003845	AUR62006110	AUR62003321	AUR62005586	AUR62006319	AUR62003845	AUR62005819	AUR62006028	AUR62019642			AUR62003845	AUR62044184	AUR62008384	AUR62033275	AUR62022250				AUR62030056											AUR62025126				AUR62021789	AUR62001880							AUR62019340									
AUR62002723	AUR62003301	AUR62035097	AUR62006016	AUR62029058	AUR62006115	AUR62003338	AUR62005660	AUR62006322	AUR62029058	AUR62037245	AUR62006034	AUR62019712			AUR62029058	AUR62032822	AUR62017549	AUR62035332	AUR62002057				AUR62037632											AUR62004402				AUR62025589	AUR62025395							AUR62041644									
AUR62002724	AUR62003307	AUR62033720	AUR62006020	AUR62029073	AUR62006135	AUR62003361	AUR62005669	AUR62006325	AUR62029073	AUR62009961	AUR62006058	AUR62023677			AUR62029073	AUR62004880	AUR62029951	AUR62027167	AUR62002062				AUR62037646											AUR62004644				AUR62037837	AUR62040093							AUR62041650									
AUR62002725	AUR62003309	AUR62033717	AUR62006028	AUR62020144	AUR62006152	AUR62003366	AUR62005687	AUR62006331	AUR62020144	AUR62010064	AUR62006074	AUR62035622			AUR62020144	AUR62005170	AUR62036750	AUR62028171					AUR62019951											AUR62004702				AUR62035891	AUR62028884							AUR62040456									
AUR62002726	AUR62003303	AUR62033752	AUR62006034	AUR62027921	AUR62006180	AUR62003382	AUR62005697	AUR62006416	AUR62027921	AUR62010074	AUR62006075	AUR62003498			AUR62027921	AUR62020701	AUR62011139	AUR62028176					AUR62024804											AUR62020856				AUR62008588	AUR62028895							AUR62011322									
AUR62002727	AUR62003308	AUR62033800	AUR62006058	AUR62028023	AUR62006175	AUR62003385	AUR62005738	AUR62006421	AUR62028023	AUR62010190	AUR62006072	AUR62003522			AUR62028023	AUR62020779	AUR62004912	AUR62014124					AUR62024820											AUR62036591				AUR62008589	AUR62029237							AUR62011331									
AUR62002728	AUR62003304	AUR62040776	AUR62006074	AUR62009596	AUR62006176	AUR62005919	AUR62032630	AUR62041913	AUR62009596	AUR62010207	AUR62006071	AUR62003803			AUR62009596	AUR62018559	AUR62005032	AUR62017789					AUR62034570											AUR62025373				AUR62008918	AUR62014619							AUR62041623									
AUR62002729	AUR62003311	AUR62040786	AUR62006075	AUR62009594	AUR62006187	AUR62005918	AUR62009961	AUR62042043	AUR62009594	AUR62010256	AUR62006085	AUR62020100			AUR62009594	AUR62018568	AUR62005217	AUR62037418					AUR62015646											AUR62001999				AUR62008921	AUR62014099							AUR62041992									
AUR62002733	AUR62003319	AUR62032155	AUR62006072	AUR62009714	AUR62006183	AUR62005953	AUR62010074	AUR62042560	AUR62009714	AUR62010386	AUR62006114	AUR62027894			AUR62009714	AUR62024237	AUR62042176	AUR62028527					AUR62015757											AUR62002594				AUR62008920	AUR62014194							AUR62017565									
AUR62002732	AUR62003321	AUR62032156	AUR62006071	AUR62009779	AUR62006198	AUR62005955	AUR62010099	AUR62042562	AUR62009779	AUR62010522	AUR62006110	AUR62033861			AUR62009779	AUR62038510	AUR62030497	AUR62019318					AUR62015758															AUR62008956	AUR62017838							AUR62017564									
AUR62002734	AUR62003323	AUR62032179	AUR62006085	AUR62036216	AUR62006207	AUR62006005	AUR62010141	AUR62042570	AUR62036216	AUR62010525	AUR62006115	AUR62036161			AUR62036216	AUR62044648	AUR62024303	AUR62022358					AUR62025815															AUR62040730	AUR62017881							AUR62038021									
AUR62002736	AUR62003338	AUR62032214	AUR62006090	AUR62036231	AUR62006213	AUR62006009	AUR62010190	AUR62043797	AUR62036231	AUR62010722	AUR62006135	AUR62001682			AUR62036231	AUR62042498	AUR62033012	AUR62022470					AUR62025831															AUR62032281	AUR62017875							AUR62038029									
AUR62002738	AUR62003361	AUR62032217	AUR62006114	AUR62007763	AUR62006220	AUR62006016	AUR62010207	AUR62043154	AUR62007763	AUR62010848	AUR62006152	AUR62035774			AUR62007763	AUR62020850	AUR62004438	AUR62044703					AUR62025876															AUR62033424	AUR62019263							AUR62036707									
AUR62002737	AUR62003366	AUR62040950	AUR62006110	AUR62007998	AUR62006244	AUR62006007	AUR62010217	AUR62038365	AUR62007998	AUR62010844	AUR62006175	AUR62015538			AUR62007998	AUR62042297	AUR62004556	AUR62044702					AUR62014427															AUR62033465	AUR62019312							AUR62041944									
AUR62002739	AUR62003382	AUR62035531	AUR62006115	AUR62043098	AUR62006270	AUR62006028	AUR62010216	AUR62038380	AUR62043098	AUR62040811	AUR62006187	AUR62040078			AUR62043098	AUR62002237	AUR62027460	AUR62011323					AUR62014505															AUR62021249	AUR62022518							AUR62030629									
AUR62002740	AUR62003385	AUR62035536	AUR62006135	AUR62030957	AUR62006309	AUR62006034	AUR62010256	AUR62044742	AUR62030957	AUR62040821	AUR62006183	AUR62035212			AUR62030957		AUR62001961	AUR62011575					AUR62023480															AUR62021288	AUR62011659							AUR62016730									
AUR62002741	AUR62005919	AUR62035539	AUR62006152	AUR62031034	AUR62006319	AUR62006058	AUR62010386	AUR62039478	AUR62031034	AUR62038130	AUR62006194	AUR62014977			AUR62031034		AUR62002008	AUR62011576					AUR62013369															AUR62031951	AUR62036844							AUR62016738									
AUR62002742	AUR62005918	AUR62023017	AUR62006175	AUR62012568	AUR62006322	AUR62006074	AUR62010388	AUR62012892	AUR62012568	AUR62038135	AUR62006207	AUR62029246			AUR62012568		AUR62002055	AUR62011572					AUR62013460															AUR62018620	AUR62039526							AUR62009211									
AUR62002743	AUR62005953	AUR62023043	AUR62006187	AUR62012679	AUR62006325	AUR62006075	AUR62043824	AUR62012942	AUR62012679	AUR62034958	AUR62006220	AUR62014837			AUR62012679			AUR62023991					AUR62013494															AUR62018748	AUR62008046							AUR62009459									
AUR62002744	AUR62005955	AUR62023085	AUR62006183	AUR62012772	AUR62006326	AUR62006072	AUR62040432	AUR62012938	AUR62012772	AUR62034964	AUR62006239	AUR62017813			AUR62012772			AUR62008267					AUR62038078															AUR62031067	AUR62008430							AUR62040658									
AUR62002745	AUR62006005	AUR62023099	AUR62006194	AUR62001111	AUR62006331	AUR62006071	AUR62040438	AUR62012985	AUR62001111	AUR62044762	AUR62006244	AUR62017836			AUR62001111			AUR62008524					AUR62043177															AUR62031074	AUR62006659							AUR62017060									
AUR62002746	AUR62006009	AUR62023093	AUR62006198	AUR62001361	AUR62006416	AUR62006085	AUR62010500	AUR62012993	AUR62001361	AUR62034219	AUR62006270	AUR62011660			AUR62001361			AUR62006750					AUR62043173															AUR62031195	AUR62016482							AUR62017112									
AUR62002747	AUR62006016	AUR62023108	AUR62006207	AUR62001367	AUR62006421	AUR62006107	AUR62010518	AUR62013006	AUR62001367	AUR62023285	AUR62006283	AUR62039507			AUR62001367			AUR62006995					AUR62036935															AUR62029220	AUR62032686							AUR62017142									
AUR62002748	AUR62006007	AUR62023111	AUR62006213	AUR62001638	AUR62006451	AUR62006114	AUR62010722	AUR62013010	AUR62001638	AUR62023310	AUR62006309	AUR62008494			AUR62001638			AUR62017658					AUR62036966															AUR62037023	AUR62009088							AUR62032008									
AUR62002749	AUR62006020	AUR62023116	AUR62006220	AUR62001715	AUR62041913	AUR62006110	AUR62010767	AUR62013008	AUR62001715	AUR62023308	AUR62006319	AUR62038001			AUR62001715			AUR62017400					AUR62021543															AUR62021821	AUR62009208							AUR62011146									
AUR62002750	AUR62006028	AUR62023140	AUR62006239	AUR62001808	AUR62042043	AUR62006115	AUR62038114	AUR62013019	AUR62001808	AUR62023307	AUR62006322	AUR62038041			AUR62001808			AUR62017433					AUR62021545															AUR62021838	AUR62035952							AUR62035665									
AUR62002751	AUR62006034	AUR62023166	AUR62006244	AUR62035723	AUR62042560	AUR62006135	AUR62043199	AUR62013031	AUR62035723	AUR62023332	AUR62006325	AUR62016483			AUR62035723			AUR62029861					AUR62021581															AUR62021835	AUR62032813							AUR62018459									
AUR62002752	AUR62006058	AUR62023211	AUR62006270	AUR62015449	AUR62042562	AUR62006149	AUR62044762	AUR62013109	AUR62015449	AUR62023363	AUR62006360	AUR62016832			AUR62015449			AUR62029880					AUR62021634															AUR62022001	AUR62027864							AUR62018485									
AUR62002754	AUR62006074	AUR62023207	AUR62006283	AUR62039224	AUR62042570	AUR62006152	AUR62034282	AUR62013115	AUR62039224	AUR62023393	AUR62006403	AUR62009416			AUR62039224			AUR62016389					AUR62021645															AUR62022701	AUR62032061							AUR62032380									
AUR62002756	AUR62006075	AUR62031529	AUR62006309	AUR62025405	AUR62042574	AUR62006175	AUR62042233	AUR62013126	AUR62025405	AUR62020455	AUR62006416	AUR62040646			AUR62025405			AUR62016412					AUR62021646															AUR62022700	AUR62011238							AUR62004216									
AUR62002755	AUR62006072	AUR62031552	AUR62006319	AUR62025406	AUR62043797	AUR62006176	AUR62023257	AUR62013138	AUR62025406	AUR62041195	AUR62006421	AUR62036014			AUR62025406			AUR62030679					AUR62021693															AUR62044750	AUR62019027							AUR62004635									
AUR62002757	AUR62006071	AUR62005411	AUR62006322	AUR62025410	AUR62043154	AUR62006187	AUR62023305	AUR62013155	AUR62025410	AUR62041076	AUR62006432	AUR62017033			AUR62025410			AUR62016737					AUR62021699															AUR62007250	AUR62020582							AUR62004636									
AUR62002758	AUR62006085	AUR62005415	AUR62006325	AUR62025479	AUR62043158	AUR62006183	AUR62023318	AUR62013182	AUR62025479	AUR62041102	AUR62006445	AUR62017069			AUR62025479			AUR62016830					AUR62021753															AUR62007369	AUR62018553							AUR62004650									
AUR62002762	AUR62006090	AUR62005434	AUR62006331	AUR62025546	AUR62038365	AUR62006194	AUR62023335	AUR62013218	AUR62025546	AUR62013632	AUR62041913	AUR62018563			AUR62025546			AUR62009167					AUR62021789															AUR62007411	AUR62025154							AUR62020876									
AUR62002761	AUR62006089	AUR62005503	AUR62006360	AUR62035436	AUR62038368	AUR62006207	AUR62023375	AUR62013234	AUR62035436	AUR62013644	AUR62042043	AUR62025126			AUR62035436			AUR62009382					AUR62025589															AUR62024605	AUR62032349							AUR62020935									
AUR62002765	AUR62006107	AUR62005536	AUR62006403	AUR62028871	AUR62038376	AUR62006220	AUR62023418	AUR62041146	AUR62028871	AUR62013640	AUR62042560	AUR62004402			AUR62028871			AUR62040659					AUR62025618															AUR62024607	AUR62024202							AUR62020960									
AUR62002764	AUR62006114	AUR62005554	AUR62006416	AUR62028873	AUR62038380	AUR62006239	AUR62023429	AUR62043105	AUR62028873	AUR62013761	AUR62042562	AUR62004644			AUR62028873			AUR62027805					AUR62037703															AUR62024623	AUR62044485							AUR62020959									
AUR62002763	AUR62006110	AUR62005586	AUR62006421	AUR62015091	AUR62044742	AUR62006244	AUR62023431	AUR62039005	AUR62015091	AUR62013792	AUR62042570	AUR62004702			AUR62015091			AUR62017059					AUR62037826															AUR62037608	AUR62004366							AUR62025336									
AUR62002766	AUR62006115	AUR62005660	AUR62006432	AUR62034062	AUR62039467	AUR62006270	AUR62039989	AUR62041695	AUR62034062	AUR62013810	AUR62043797	AUR62020856			AUR62034062			AUR62025977					AUR62037837															AUR62011759	AUR62004407							AUR62025360									
AUR62002768	AUR62006135	AUR62005658	AUR62006445	AUR62014630	AUR62039478	AUR62006269	AUR62020458	AUR62032466	AUR62014630	AUR62013866	AUR62043154	AUR62036591			AUR62014630			AUR62031980					AUR62035870															AUR62011779	AUR62004631							AUR62040267									
AUR62002767	AUR62006149	AUR62005671	AUR62041913	AUR62014639	AUR62039482	AUR62006283	AUR62020457	AUR62032473	AUR62014639	AUR62013887	AUR62038348	AUR62025373			AUR62014639			AUR62018959					AUR62035872															AUR62011969	AUR62020866							AUR62002543									
AUR62002769	AUR62006152	AUR62005669	AUR62042043	AUR62014115	AUR62012884	AUR62006309	AUR62020553	AUR62032486	AUR62014115	AUR62013894	AUR62038380	AUR62001999			AUR62014115			AUR62020709					AUR62035894															AUR62018158	AUR62022122																
AUR62002771	AUR62006180	AUR62005687	AUR62042560	AUR62014209	AUR62012892	AUR62006319	AUR62041195	AUR62043509	AUR62014209	AUR62028296	AUR62044742	AUR62002594			AUR62014209			AUR62030327					AUR62028723															AUR62018305	AUR62022164																
AUR62002772	AUR62006175	AUR62005697	AUR62042562	AUR62017777	AUR62012893	AUR62006322	AUR62041076	AUR62027526	AUR62017777	AUR62028300	AUR62039459	AUR62002782			AUR62017777			AUR62030366					AUR62028740															AUR62036473	AUR62025294																
AUR62002775	AUR62006176	AUR62005721	AUR62042570	AUR62017900	AUR62012916	AUR62006325	AUR62013622	AUR62027571	AUR62017900	AUR62028324	AUR62039478	AUR62003053			AUR62017900			AUR62042907					AUR62008588															AUR62026791	AUR62031289																
AUR62002777	AUR62006187	AUR62005735	AUR62043797	AUR62028534	AUR62012942	AUR62006360	AUR62013644	AUR62027574	AUR62028534	AUR62028361	AUR62012876	AUR62042566			AUR62028534			AUR62040995					AUR62008589															AUR62000223	AUR62027370																
AUR62002776	AUR62006183	AUR62005738	AUR62043154	AUR62019404	AUR62012938	AUR62006403	AUR62013683	AUR62027586	AUR62019404	AUR62028365	AUR62012881	AUR62013057			AUR62019404			AUR62018340					AUR62008612															AUR62000543	AUR62002037																
AUR62002778	AUR62006194	AUR62005819	AUR62038348	AUR62040506	AUR62012953	AUR62006416	AUR62013723	AUR62027587	AUR62040506	AUR62028378	AUR62012892	AUR62027587			AUR62040506			AUR62040849					AUR62008774															AUR62000579																	
AUR62002783	AUR62006198	AUR62037245	AUR62038365	AUR62011379	AUR62012985	AUR62006421	AUR62013735	AUR62027599	AUR62011379	AUR62029962	AUR62012942	AUR62033720			AUR62011379			AUR62004226					AUR62008918															AUR62000826																	
AUR62002780	AUR62006207	AUR62032630	AUR62038380	AUR62011450	AUR62012993	AUR62006432	AUR62013725	AUR62027604	AUR62011450	AUR62029986	AUR62012938	AUR62035539			AUR62011450			AUR62004311					AUR62008985															AUR62038302																	
AUR62002779	AUR62006213	AUR62009961	AUR62044742	AUR62043783	AUR62013006	AUR62006445	AUR62013781	AUR62035035	AUR62043783	AUR62030017	AUR62012985	AUR62031529			AUR62043783			AUR62004508					AUR62032317															AUR62038301																	
AUR62002785	AUR62006220	AUR62010064	AUR62039459	AUR62042368	AUR62013010	AUR62041913	AUR62013810	AUR62035095	AUR62042368	AUR62030056	AUR62013001	AUR62005536			AUR62042368			AUR62004632					AUR62033424															AUR62026807																	
AUR62002784	AUR62006239	AUR62010074	AUR62039478	AUR62037110	AUR62013008	AUR62042043	AUR62013851	AUR62035102	AUR62037110	AUR62037623	AUR62012993	AUR62005658			AUR62037110			AUR62022056					AUR62033465															AUR62026968																	
